Ao adicionar um produto ao carrinho,adicionar-produto
Quando eu adiciono um produto ao carrinho,adicionar-produto
Eu queria ajuda para comprar um celular.,comprar-produto
Quais são minhas notas?,descobir-nota
Saiu a média?,descobir-nota
Qual a minha nota?,descobir-nota
Que nota tirei?,descobir-nota
falta da base de conehcimento,enfermagem-impericia
ausencia de conhecimento elementar,enfermagem-impericia
conehcimento ruim,enfermagem-impericia
falta de aptdão,enfermagem-impericia
falta de aptidão tecnica,enfermagem-impericia
falta de tecninca,enfermagem-impericia
puco conheciemto,enfermagem-impericia
falta de pratica,enfermagem-impericia
treinamento insuficinente,enfermagem-impericia
falta de conhecimento,enfermagem-impericia
qualidade inadequada,enfermagem-impericia
profisional mal qualificado,enfermagem-impericia
falta de qualificação,enfermagem-impericia
iginorância,enfermagem-impericia
nivel baixo de conhecimento,enfermagem-impericia
agir erroniamente,enfermagem-imprudencia
atitude errada,enfermagem-imprudencia
não ter atenção atenção,enfermagem-imprudencia
pressupõe uma ação precipitada,enfermagem-imprudencia
agir de forma incoerente,enfermagem-imprudencia
não ser cauteloso,enfermagem-imprudencia
agir sem cautela,enfermagem-imprudencia
ter atitude não esperada,enfermagem-imprudencia
agir de forma errada,enfermagem-imprudencia
agir com descuido,enfermagem-negligencia
agir comindiferença,enfermagem-negligencia
não tomar as devidas precauções,enfermagem-negligencia
falta de precauções,enfermagem-negligencia
agir com falta de atenção,enfermagem-negligencia
não ter atanção,enfermagem-negligencia
alguém deixa de tomar uma atitude,enfermagem-negligencia
agir com menosprezo,enfermagem-negligencia
omissão,enfermagem-negligencia
menosprezar,enfermagem-negligencia
não apresentar conduta que era esperada para a situação,enfermagem-negligencia
não ter atitude,enfermagem-negligencia
ter conduta omissiva,enfermagem-negligencia
Quanto tempo demora para o meu produto ser entregue?,entrega-produto
Daltro correção prova,professores-prova
Daltro corrigiu,professores-prova
Daltro corrigiu minha prova?,professores-prova
Cláudio prova,professores-prova
prova Cláudio,professores-prova
Cláudio avaliação,professores-prova
Cláudio correção prova,professores-prova
Cláudio corrigiu,professores-prova
Cláudio corrigiu minha prova?,professores-prova
Roland prova,professores-prova
prova Roland,professores-prova
Roland avaliação,professores-prova
Roland correção prova,professores-prova
Roland corrigiu,professores-prova
Roland corrigiu minha prova?,professores-prova
Carlão prova,professores-prova
prova Carlão,professores-prova
Carlão avaliação,professores-prova
Carlão correção prova,professores-prova
Carlão corrigiu,professores-prova
Carlão corrigiu minha prova?,professores-prova
Traina prova,professores-prova
prova Traina,professores-prova
Traina avaliação,professores-prova
Traina correção prova,professores-prova
Traina corrigiu,professores-prova
Traina corrigiu minha prova?,professores-prova
Neto prova,professores-prova
prova Neto,professores-prova
Neto avaliação,professores-prova
Neto correção prova,professores-prova
Neto corrigiu,professores-prova
Neto corrigiu minha prova?,professores-prova
Ana cláudia prova,professores-prova
prova Ana cláudia,professores-prova
Ana cláudia avaliação,professores-prova
Ana cláudia correção prova,professores-prova
Ana cláudia corrigiu,professores-prova
Ana cláudia corrigiu minha prova?,professores-prova
Liene prova,professores-prova
prova Liene,professores-prova
Liene avaliação,professores-prova
Liene correção prova,professores-prova
Liene corrigiu,professores-prova
Liene corrigiu minha prova?,professores-prova
Marcelo prova,professores-prova
prova Marcelo,professores-prova
Marcelo avaliação,professores-prova
Marcelo correção prova,professores-prova
Jorge prova,professores-prova
prova Jorge,professores-prova
Jorge avaliação,professores-prova
Jorge correção prova,professores-prova
Jorge corrigiu,professores-prova
Jorge corrigiu minha prova?,professores-prova
Flávia prova,professores-prova
prova Flávia,professores-prova
Flávia avaliação,professores-prova
Flávia correção prova,professores-prova
Flávia corrigiu,professores-prova
Flávia corrigiu minha prova?,professores-prova
Fernando prova,professores-prova
prova Fernando,professores-prova
Fernando avaliação,professores-prova
Fernando correção prova,professores-prova
